DateTime,Robot_X,Robot_Y,Robot_Angle,Ball_X,Ball_Y
09.02.2024 21:48:40,-0.201501,1.01756,0.0285796,0.054887,1.46916
09.02.2024 21:48:40,-0.201712,1.01818,0.0286254,0.0548821,1.46914
09.02.2024 21:48:40,-0.201338,1.01931,0.0286254,0.0548821,1.46914
09.02.2024 21:48:40,-0.202021,1.02001,0.0286254,0.0548821,1.46914
09.02.2024 21:48:40,-0.202099,1.01849,0.0286511,0.0551269,1.46922
09.02.2024 21:48:41,-0.216303,1.01023,0.0171158,0.0466429,1.47204
09.02.2024 21:48:41,-0.216953,1.01196,0.0170684,0.046635,1.47188
09.02.2024 21:48:41,-0.215533,1.00959,0.0171142,0.0466302,1.47187
09.02.2024 21:48:41,-0.217353,1.01087,0.0171408,0.0468877,1.47212
09.02.2024 21:48:41,-0.216501,1.00948,0.0171158,0.0466429,1.47204
09.02.2024 21:48:41,-0.217513,1.00861,0.01707,0.0466476,1.47206
09.02.2024 21:48:41,-0.211908,1.00493,0.0275862,0.0436298,1.47814
09.02.2024 21:48:41,-0.211633,1.00554,0.0276304,0.0436252,1.47812
09.02.2024 21:48:41,-0.211409,1.00473,0.0276086,0.0433804,1.47804
09.02.2024 21:48:41,-0.212462,1.004,0.0275592,0.0433628,1.47726
09.02.2024 21:48:41,-0.212705,1.00425,0.0275751,0.043483,1.47806
09.02.2024 21:48:41,-0.212401,1.00606,0.027632,0.0436254,1.47813
09.02.2024 21:48:41,-0.214693,1.00246,0.0285802,0.0399724,1.48207
09.02.2024 21:48:42,-0.214951,0.999197,0.0286027,0.0402174,1.48215
09.02.2024 21:48:42,-0.215228,0.998971,0.0285753,0.0399377,1.4811
09.02.2024 21:48:42,-0.215616,1.00125,0.0286218,0.0399224,1.48197
09.02.2024 21:48:42,-0.215411,1.00093,0.0285802,0.0399724,1.48207
09.02.2024 21:48:42,-0.214095,1.0087,0.0308692,0.0491255,1.48487
09.02.2024 21:48:42,-0.214237,1.0092,0.0308692,0.0491255,1.48487
09.02.2024 21:48:42,-0.215906,1.01066,0.0308909,0.0493707,1.48495
09.02.2024 21:48:42,-0.215464,1.01071,0.0308233,0.0491297,1.48489
09.02.2024 21:48:42,-0.216653,1.0102,0.0308909,0.0493707,1.48495
09.02.2024 21:48:42,-0.246646,1.01706,0.000635787,0.0575994,1.48534
09.02.2024 21:48:42,-0.24666,1.01832,0.000693583,0.0577625,1.4862
09.02.2024 21:48:43,-0.245312,1.01811,0.000670667,0.0575047,1.48595
